state,state_abb,CD,district,ID
Ohio,OH,OH-14,14,312
Ohio,OH,OH-15,15,313
Oklahoma,OK,OK-01,1,314
Oklahoma,OK,OK-02,2,315
Oklahoma,OK,OK-03,3,316
Oklahoma,OK,OK-04,4,317
Oklahoma,OK,OK-05,5,318
Oregon,OR,OR-01,1,319
Oregon,OR,OR-02,2,320
Oregon,OR,OR-03,3,321
Oregon,OR,OR-04,4,322
Oregon,OR,OR-05,5,323
Oregon,OR,OR-06,6,324
Pennsylvania,PA,PA-01,1,325
Pennsylvania,PA,PA-02,2,326
Pennsylvania,PA,PA-03,3,327
Pennsylvania,PA,PA-04,4,328
Pennsylvania,PA,PA-05,5,329
Pennsylvania,PA,PA-06,6,330
Pennsylvania,PA,PA-07,7,331
Pennsylvania,PA,PA-08,8,332
Pennsylvania,PA,PA-09,9,333
Pennsylvania,PA,PA-10,10,334
Pennsylvania,PA,PA-11,11,335
Pennsylvania,PA,PA-12,12,336
Pennsylvania,PA,PA-13,13,337
Pennsylvania,PA,PA-14,14,338
Pennsylvania,PA,PA-15,15,339
Pennsylvania,PA,PA-16,16,340
Pennsylvania,PA,PA-17,17,341
Rhode Island,RI,RI-01,1,342
Rhode Island,RI,RI-02,2,343
South Carolina,SC,SC-01,1,344
South Carolina,SC,SC-02,2,345
South Carolina,SC,SC-03,3,346
South Carolina,SC,SC-04,4,347
South Carolina,SC,SC-05,5,348
South Carolina,SC,SC-06,6,349
South Carolina,SC,SC-07,7,350
South Dakota,SD,SD-01,0,351
Tennessee,TN,TN-01,1,352
Tennessee,TN,TN-02,2,353
Tennessee,TN,TN-03,3,354
Tennessee,TN,TN-04,4,355
Tennessee,TN,TN-05,5,356
Tennessee,TN,TN-06,6,357
Tennessee,TN,TN-07,7,358
Tennessee,TN,TN-08,8,359
Tennessee,TN,TN-09,9,360
Texas,TX,TX-01,1,361
Texas,TX,TX-02,2,362
Texas,TX,TX-03,3,363
Texas,TX,TX-04,4,364
Texas,TX,TX-05,5,365
Texas,TX,TX-06,6,366
Texas,TX,TX-07,7,367
Texas,TX,TX-08,8,368
Texas,TX,TX-09,9,369
Texas,TX,TX-10,10,370
Texas,TX,TX-11,11,371
Texas,TX,TX-12,12,372
Texas,TX,TX-13,13,373
Texas,TX,TX-14,14,374
Texas,TX,TX-15,15,375
Texas,TX,TX-16,16,376
Texas,TX,TX-17,17,377
Texas,TX,TX-18,18,378
Texas,TX,TX-19,19,379
Texas,TX,TX-20,20,380
Texas,TX,TX-21,21,381
Texas,TX,TX-22,22,382
Texas,TX,TX-23,23,383
Texas,TX,TX-24,24,384
Texas,TX,TX-25,25,385
Texas,TX,TX-26,26,386
Texas,TX,TX-27,27,387
Texas,TX,TX-28,28,388
Texas,TX,TX-29,29,389
Texas,TX,TX-30,30,390
Texas,TX,TX-31,31,391
Texas,TX,TX-32,32,392
Texas,TX,TX-33,33,393
Texas,TX,TX-34,34,394
Texas,TX,TX-35,35,395
Texas,TX,TX-36,36,396
Texas,TX,TX-37,37,397
Texas,TX,TX-38,38,398
Utah,UT,UT-01,1,399
Utah,UT,UT-02,2,400
Utah,UT,UT-03,3,401
Utah,UT,UT-04,4,402
Virginia,VA,VA-01,1,403
Virginia,VA,VA-02,2,404
Virginia,VA,VA-03,3,405
Virginia,VA,VA-04,4,406
Virginia,VA,VA-05,5,407
Virginia,VA,VA-06,6,408
Virginia,VA,VA-07,7,409
Virginia,VA,VA-08,8,410
Virginia,VA,VA-09,9,411
Virginia,VA,VA-10,10,412
Virginia,VA,VA-11,11,413
Vermont,VT,VT-01,0,414
Washington,WA,WA-01,1,415
Washington,WA,WA-02,2,416
Washington,WA,WA-03,3,417
Washington,WA,WA-04,4,418
Washington,WA,WA-05,5,419
Washington,WA,WA-06,6,420
Washington,WA,WA-07,7,421
Washington,WA,WA-08,8,422
Washington,WA,WA-09,9,423
Washington,WA,WA-10,10,424
Wisconsin,WI,WI-01,1,425
Wisconsin,WI,WI-02,2,426
Wisconsin,WI,WI-03,3,427
Wisconsin,WI,WI-04,4,428
Wisconsin,WI,WI-05,5,429
Wisconsin,WI,WI-06,6,430
Wisconsin,WI,WI-07,7,431
Wisconsin,WI,WI-08,8,432
West Virginia,WV,WV-01,1,433
West Virginia,WV,WV-02,2,434
Wyoming,WY,WY-01,0,435
