state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Kansas,KS,KS-02,2,165,729187,528094,87919,80219,19235,20349,2401,
Kansas,KS,KS-03,3,166,719979,567907,63343,43697,39422,8355,856,
Kansas,KS,KS-04,4,167,727145,529680,93161,62523,31239,18595,1765,
Kentucky,KY,KY-01,1,168,572360,508747,10797,45010,3439,3770,322,
Kentucky,KY,KY-02,2,169,553205,498560,10882,32604,6306,4219,339,
Kentucky,KY,KY-03,3,170,546541,397188,14606,119405,11108,3527,195,
Kentucky,KY,KY-04,4,171,553561,514232,9916,20486,4944,3400,122,
Kentucky,KY,KY-05,5,172,582158,560218,4810,10595,1971,4064,167,
Kentucky,KY,KY-06,6,173,554572,482294,10894,49297,7664,3756,172,
Louisiana,LA,LA-01,1,174,559959,436942,32172,69436,11684,9500,119,
Louisiana,LA,LA-02,2,175,589583,185437,22858,364594,12832,3034,40,
Louisiana,LA,LA-03,3,176,571733,405783,13616,140258,6348,5254,73,
Louisiana,LA,LA-04,4,177,594580,361448,15871,203633,5168,8090,351,
Louisiana,LA,LA-05,5,178,590258,369640,9992,201861,3630,5892,118,
Louisiana,LA,LA-06,6,179,561680,399680,14576,130376,10137,5842,235,
Massachusetts,MA,MA-01,1,180,601944,465360,88982,33457,10846,2774,76,
Massachusetts,MA,MA-02,2,181,558163,458701,45248,24603,25266,3157,282,
Massachusetts,MA,MA-03,3,182,532387,396063,81347,18685,33316,2168,149,
Massachusetts,MA,MA-04,4,183,561200,489035,22908,18707,27152,3191,147,
Massachusetts,MA,MA-05,5,184,522285,410296,34958,25876,48645,1731,153,
Massachusetts,MA,MA-06,6,185,576565,497285,37894,16824,21820,1761,237,
Massachusetts,MA,MA-07,7,186,532282,270383,82708,128254,46792,3501,439,
Massachusetts,MA,MA-08,8,187,556431,430847,28588,55847,37420,2692,105,
Massachusetts,MA,MA-09,9,188,589627,537481,20529,18905,7902,4129,333,
Maryland,MD,MD-01,1,189,581816,462701,16006,86107,12474,3919,70,
Maryland,MD,MD-02,2,190,560331,388002,17062,126024,24880,3019,109,
Maryland,MD,MD-03,3,191,542414,371303,26006,93749,46037,3680,297,
Maryland,MD,MD-04,4,192,459234,70952,44539,314137,24216,3477,222,
Maryland,MD,MD-05,5,193,559188,284006,22846,228400,16548,5644,168,
