state,year,district,DemVotesMajorPercent,incumb_district,midterm,house_party_in_power_at_election,pres_party_in_power_at_election,mean_dem_natl_gb_margin,total_avg_rating,democratic_house,democratic_president,midterm_election,previous_voteshare
Idaho,2020,1,29.72,1,pres,D,R,7.4,-4,1,0,0,32.89
Idaho,2020,2,33.12,1,pres,D,R,7.4,-4,1,0,0,39.33
Illinois,2020,1,73.84,1,pres,D,R,7.4,4,1,0,0,78.81
Illinois,2020,2,78.81,1,pres,D,R,7.4,4,1,0,0,81.06
Illinois,2020,3,56.38,0,pres,D,R,7.4,4,1,0,0,73.8
Illinois,2020,4,84.05,1,pres,D,R,7.4,4,1,0,0,86.59
Illinois,2020,5,72.66,1,pres,D,R,7.4,4,1,0,0,76.67
Illinois,2020,6,53.76,1,pres,D,R,7.4,4,1,0,0,53.58
Illinois,2020,7,85.77,1,pres,D,R,7.4,4,1,0,0,87.62
Illinois,2020,9,70.98,1,pres,D,R,7.4,4,1,0,0,73.49
Illinois,2020,10,63.88,1,pres,D,R,7.4,4,1,0,0,65.59
Illinois,2020,11,63.3,1,pres,D,R,7.4,4,1,0,0,63.84
Illinois,2020,12,39.57,1,pres,D,R,7.4,-4,1,0,0,46.81
Illinois,2020,13,45.54,1,pres,D,R,7.4,-0.555555556,1,0,0,49.62
Illinois,2020,14,50.67,1,pres,D,R,7.4,3.444444444,1,0,0,52.5
Illinois,2020,15,26.55,0,pres,D,R,7.4,-4,1,0,0,29.07
Illinois,2020,16,35.28,1,pres,D,R,7.4,-4,1,0,0,40.88
Illinois,2020,17,52.03,1,pres,D,R,7.4,3,1,0,0,62.09
Illinois,2020,18,29.59,1,pres,D,R,7.4,NA,1,0,0,32.77
Indiana,2020,1,58.34,0,pres,D,R,7.4,4,1,0,0,65.09
Indiana,2020,2,38.51,1,pres,D,R,7.4,-4,1,0,0,45.16
Indiana,2020,3,32.16,1,pres,D,R,7.4,-4,1,0,0,35.27
Indiana,2020,4,33.38,1,pres,D,R,7.4,-4,1,0,0,35.94
Indiana,2020,5,47.87,0,pres,D,R,7.4,0.333333333,1,0,0,43.24
Indiana,2020,6,28.79,1,pres,D,R,7.4,-4,1,0,0,33.99
Indiana,2020,7,62.44,1,pres,D,R,7.4,4,1,0,0,64.86
Indiana,2020,8,30.83,1,pres,D,R,7.4,-4,1,0,0,35.57
Indiana,2020,9,35.57,1,pres,D,R,7.4,-4,1,0,0,43.52
Iowa,2020,1,48.7,1,pres,D,R,7.4,1.444444444,1,0,0,52.61
Iowa,2020,2,50,0,pres,D,R,7.4,1.444444444,1,0,0,56.26
Iowa,2020,3,50.72,1,pres,D,R,7.4,2,1,0,0,51.12
Iowa,2020,4,37.88,0,pres,D,R,7.4,-4,1,0,0,48.29
Kansas,2020,1,28.84,0,pres,D,R,7.4,-4,1,0,0,31.85
Kansas,2020,2,42.42,0,pres,D,R,7.4,-3.444444444,1,0,0,49.55
Kansas,2020,3,55.17,1,pres,D,R,7.4,4,1,0,0,54.96
Kansas,2020,4,36.35,1,pres,D,R,7.4,-4,1,0,0,40.56
Kentucky,2020,1,25.01,1,pres,D,R,7.4,-4,1,0,0,31.41
Kentucky,2020,2,27.01,1,pres,D,R,7.4,-4,1,0,0,31.77
Kentucky,2020,3,62.67,1,pres,D,R,7.4,4,1,0,0,62.93
Kentucky,2020,4,32.91,1,pres,D,R,7.4,-4,1,0,0,35.72
Kentucky,2020,5,15.79,1,pres,D,R,7.4,-4,1,0,0,21.05
Kentucky,2020,6,41.67,1,pres,D,R,7.4,-3.444444444,1,0,0,48.37
Louisiana,2020,1,25.95,1,pres,D,R,7.4,-4,1,0,0,18.69
Louisiana,2020,3,20.89,1,pres,D,R,7.4,-4,1,0,0,24.21
Louisiana,2020,4,29.67,1,pres,D,R,7.4,-4,1,0,0,34.36
Louisiana,2020,2,80.91,1,pres,D,R,7.4,4,1,0,0,80.33
Louisiana,2020,5,33.14,0,pres,D,R,7.4,-4,1,0,0,31.05
Louisiana,2020,6,26.45,1,pres,D,R,7.4,-4,1,0,0,22.8
Maine,2020,1,62.16,1,pres,D,R,7.4,4,1,0,0,64.41
Maine,2020,2,53.05,1,pres,D,R,7.4,3.444444444,1,0,0,50.62
Maryland,2020,1,36.45,1,pres,D,R,7.4,-4,1,0,0,38.84
Maryland,2020,2,67.89,1,pres,D,R,7.4,4,1,0,0,68.25
Maryland,2020,3,69.9,1,pres,D,R,7.4,4,1,0,0,70.97
Maryland,2020,4,79.74,1,pres,D,R,7.4,4,1,0,0,79.72
Maryland,2020,5,68.94,1,pres,D,R,7.4,4,1,0,0,72.19
Maryland,2020,6,60.02,1,pres,D,R,7.4,4,1,0,0,60.82
Maryland,2020,7,71.86,1,pres,D,R,7.4,4,1,0,0,78.24
Maryland,2020,8,68.36,1,pres,D,R,7.4,4,1,0,0,69.28
Massachusetts,2020,2,65.39,1,pres,D,R,7.4,4,1,0,0,67.2
Massachusetts,2020,4,61.01,0,pres,D,R,7.4,4,1,0,0,70.16
Massachusetts,2020,5,74.39,1,pres,D,R,7.4,4,1,0,0,75.94
Massachusetts,2020,6,65.52,1,pres,D,R,7.4,4,1,0,0,67.5
Massachusetts,2020,9,62.79,1,pres,D,R,7.4,4,1,0,0,59.4
Michigan,2020,1,37.41,1,pres,D,R,7.4,-4,1,0,0,43.68
Michigan,2020,2,39.23,1,pres,D,R,7.4,-4,1,0,0,43.72
Michigan,2020,3,47.04,0,pres,D,R,7.4,-0.555555556,1,0,0,44.24
Michigan,2020,4,33.24,1,pres,D,R,7.4,-4,1,0,0,37.38
Michigan,2020,5,56.6,1,pres,D,R,7.4,4,1,0,0,62.37
Michigan,2020,6,41.83,1,pres,D,R,7.4,-2.444444444,1,0,0,47.63
Michigan,2020,7,41.25,1,pres,D,R,7.4,-4,1,0,0,46.2
Michigan,2020,8,51.83,1,pres,D,R,7.4,3,1,0,0,51.97
Michigan,2020,9,60.04,1,pres,D,R,7.4,4,1,0,0,61.84
Michigan,2020,10,33.72,0,pres,D,R,7.4,-4,1,0,0,36.72
Michigan,2020,11,51.21,1,pres,D,R,7.4,3,1,0,0,53.44
Michigan,2020,12,68.41,1,pres,D,R,7.4,4,1,0,0,70.21
Michigan,2020,13,80.72,1,pres,D,R,7.4,4,1,0,0,83.06
Michigan,2020,14,81.24,1,pres,D,R,7.4,NA,1,0,0,82.36
Minnesota,2020,1,48.37,1,pres,D,R,7.4,0.333333333,1,0,0,49.77
Minnesota,2020,2,51.2,1,pres,D,R,7.4,3.444444444,1,0,0,52.76
Minnesota,2020,3,55.64,1,pres,D,R,7.4,4,1,0,0,55.72
Minnesota,2020,4,68.56,1,pres,D,R,7.4,4,1,0,0,68.93
Minnesota,2020,5,71.33,1,pres,D,R,7.4,4,1,0,0,78.24
Minnesota,2020,6,34.21,1,pres,D,R,7.4,-4,1,0,0,38.8
Minnesota,2020,7,42.74,1,pres,D,R,7.4,0.111111111,1,0,0,52.13
Minnesota,2020,8,39.82,1,pres,D,R,7.4,-4,1,0,0,47.11
Mississippi,2020,1,31.25,1,pres,D,R,7.4,-4,1,0,0,32.62
Mississippi,2020,2,66.02,1,pres,D,R,7.4,4,1,0,0,69.72
Mississippi,2020,3,35.33,1,pres,D,R,7.4,-4,1,0,0,37.08
Missouri,2020,1,80.6,0,pres,D,R,7.4,4,1,0,0,82.73
Missouri,2020,2,46.73,1,pres,D,R,7.4,-0.111111111,1,0,0,47.99
Missouri,2020,3,29.1,1,pres,D,R,7.4,-4,1,0,0,33.54
Missouri,2020,4,30.5,1,pres,D,R,7.4,-4,1,0,0,33.54
Missouri,2020,5,60.38,1,pres,D,R,7.4,4,1,0,0,63.39
Missouri,2020,6,31.49,1,pres,D,R,7.4,-4,1,0,0,32.83
Missouri,2020,7,27.84,1,pres,D,R,7.4,-4,1,0,0,31.24
Missouri,2020,8,21.75,1,pres,D,R,7.4,-4,1,0,0,25.42
Montana,2020,0,43.61,0,pres,D,R,7.4,NA,1,0,0,47.61
Nebraska,2020,1,38.76,1,pres,D,R,7.4,-4,1,0,0,39.64
Nebraska,2020,2,47.65,1,pres,D,R,7.4,-0.111111111,1,0,0,49
Nebraska,2020,3,18.38,1,pres,D,R,7.4,-4,1,0,0,23.28
Nevada,2020,1,64.92,1,pres,D,R,7.4,4,1,0,0,68.19
Nevada,2020,2,41.89,1,pres,D,R,7.4,-4,1,0,0,41.77
Nevada,2020,3,51.58,1,pres,D,R,7.4,2.444444444,1,0,0,54.78
Nevada,2020,4,52.52,1,pres,D,R,7.4,3.444444444,1,0,0,54.28
New Hampshire,2020,1,52.62,1,pres,D,R,7.4,3,1,0,0,54.34
New Hampshire,2020,2,55.22,1,pres,D,R,7.4,3.888888889,1,0,0,56.84
New Jersey,2020,1,62.48,1,pres,D,R,7.4,4,1,0,0,65.94
New Jersey,2020,2,47.07,1,pres,D,R,7.4,0.333333333,1,0,0,53.91
New Jersey,2020,3,53.93,1,pres,D,R,7.4,3.444444444,1,0,0,50.66
New Jersey,2020,4,38.99,1,pres,D,R,7.4,-4,1,0,0,43.74
New Jersey,2020,5,53.8,1,pres,D,R,7.4,4,1,0,0,56.93
New Jersey,2020,6,61.17,1,pres,D,R,7.4,4,1,0,0,63.63
New Jersey,2020,7,50.61,1,pres,D,R,7.4,2.444444444,1,0,0,52.55
New Jersey,2020,8,75.07,1,pres,D,R,7.4,4,1,0,0,80.67
New Jersey,2020,9,67.37,1,pres,D,R,7.4,4,1,0,0,70.88
New Jersey,2020,10,85.7,1,pres,D,R,7.4,4,1,0,0,89.67
New Jersey,2020,11,53.3,1,pres,D,R,7.4,4,1,0,0,57.4
New Jersey,2020,12,66.83,1,pres,D,R,7.4,4,1,0,0,68.68
New Mexico,2020,1,58.19,1,pres,D,R,7.4,4,1,0,0,61.95
New Mexico,2020,2,46.27,1,pres,D,R,7.4,0.555555556,1,0,0,50.93
New Mexico,2020,3,58.68,0,pres,D,R,7.4,4,1,0,0,67
New York,2020,1,44.08,1,pres,D,R,7.4,-2,1,0,0,47.93
New York,2020,2,46.5,0,pres,D,R,7.4,-0.555555556,1,0,0,46.89
New York,2020,3,56.28,1,pres,D,R,7.4,4,1,0,0,58.98
New York,2020,4,56.63,1,pres,D,R,7.4,4,1,0,0,61.33
New York,2020,6,67.98,1,pres,D,R,7.4,4,1,0,0,72.95
New York,2020,7,85.46,1,pres,D,R,7.4,4,1,0,0,90.78
New York,2020,8,84.83,1,pres,D,R,7.4,4,1,0,0,91.25
New York,2020,9,83.97,1,pres,D,R,7.4,4,1,0,0,89.67
New York,2020,10,75.52,1,pres,D,R,7.4,4,1,0,0,82.15
New York,2020,11,46.86,1,pres,D,R,7.4,0.555555556,1,0,0,53.24
New York,2020,12,83.33,1,pres,D,R,7.4,4,1,0,0,87.72
New York,2020,13,92.12,1,pres,D,R,7.4,4,1,0,0,94.6
New York,2020,14,72.32,1,pres,D,R,7.4,4,1,0,0,85.17
